! solver  ss/ns  timestep  coupled  nonlin  norm  change
       1       0       2       1      27   866.89794      0.66367691E-05
       1       0       2       1      28   866.89328      0.53748800E-05
       1       0       2       1      29   866.88951      0.43526037E-05
       1       0       2       1      30   866.88645      0.35259347E-05
       1       0       2       1      31   866.88397      0.28581092E-05
       1       0       2       1      32   866.88196      0.23183032E-05
       1       0       2       1      33   866.88033      0.18817100E-05
       1       0       2       1      34   866.87901      0.15282521E-05
       1       0       2       1      35   866.87793      0.12418367E-05
       1       0       2       1      36   866.87705      0.10096737E-05
       1       0       2       1      37   866.87634      0.82139401E-06
       1       0       3       1       2   866.07403      0.92594970E-03
       1       0       3       1       3   865.50932      0.65224192E-03
       1       0       3       1       4   865.07703      0.49959433E-03
       1       0       3       1       5   864.73141      0.39960684E-03
       1       0       3       1       6   864.44938      0.32619922E-03
       1       0       3       1       7   864.21746      0.26832066E-03
       1       0       3       1       8   864.02653      0.22095237E-03
       1       0       3       1       9   863.86974      0.18148014E-03
       1       0       3       1      10   863.74137      0.14861292E-03
       1       0       3       1      11   863.63651      0.12141127E-03
       1       0       3       1      12   863.55111      0.98884528E-04
       1       0       3       1      13   863.48172      0.80359067E-04
       1       0       3       1      14   863.42550      0.65107099E-04
       1       0       3       1      15   863.38001      0.52687864E-04
       1       0       3       1      16   863.34326      0.42564557E-04
       1       0       3       1      17   863.31357      0.34386651E-04
       1       0       3       1      18   863.28961      0.27763880E-04
       1       0       3       1      19   863.27027      0.22402577E-04
       1       0       3       1      20   863.25468      0.18061207E-04
       1       0       3       1      21   863.24210      0.14567258E-04
       1       0       3       1      22   863.23196      0.11749163E-04
       1       0       3       1      23   863.22378      0.94715561E-05
       1       0       3       1      24   863.21719      0.76357767E-05
       1       0       3       1      25   863.21188      0.61571982E-05
       1       0       3       1      26   863.20759      0.49665213E-05
       1       0       3       1      27   863.20413      0.40076583E-05
       1       0       3       1      28   863.20134      0.32357146E-05
       1       0       3       1      29   863.19908      0.26121794E-05
       1       0       3       1      30   863.19726      0.21093948E-05
       1       0       3       1      31   863.19579      0.17038285E-05
       1       0       3       1      32   863.19460      0.13769415E-05
       1       0       3       1      33   863.19364      0.11133405E-05
       1       0       3       1      34   863.19286      0.90041212E-06
       1       0       4       1       2   862.61892      0.66513300E-03
       1       0       4       1       3   862.20726      0.47732975E-03
       1       0       4       1       4   861.89480      0.36245750E-03
       1       0       4       1       5   861.64954      0.28460770E-03
       1       0       4       1       6   861.45389      0.22708494E-03
       1       0       4       1       7   861.29669      0.18249907E-03
       1       0       4       1       8   861.16982      0.14730672E-03
       1       0       4       1       9   861.06735      0.11899951E-03
       1       0       4       1      10   860.98462      0.96086278E-04
       1       0       4       1      11   860.91795      0.77432711E-04
       1       0       4       1      12   860.86430      0.62320098E-04
       1       0       4       1      13   860.82120      0.50065880E-04
       1       0       4       1      14   860.78664      0.40148277E-04
       1       0       4       1      15   860.75895      0.32171671E-04
       1       0       4       1      16   860.73678      0.25754529E-04
       1       0       4       1      17   860.71906      0.20594677E-04
       1       0       4       1      18   860.70490      0.16450771E-04
       1       0       4       1      19   860.69360      0.13129828E-04
       1       0       4       1      20   860.68458      0.10476317E-04
       1       0       4       1      21   860.67739      0.83566504E-05
       1       0       4       1      22   860.67165      0.66644266E-05
       1       0       4       1      23   860.66708      0.53132387E-05
       1       0       4       1      24   860.66343      0.42346292E-05
       1       0       4       1      25   860.66053      0.33749484E-05
       1       0       4       1      26   860.65821      0.26899364E-05
       1       0       4       1      27   860.65637      0.21437322E-05
       1       0       4       1      28   860.65490      0.17083748E-05
       1       0       4       1      29   860.65373      0.13615169E-05
       1       0       4       1      30   860.65279      0.10851809E-05
       1       0       4       1      31   860.65205      0.86486483E-06
       1       0       5       1       2   860.20589      0.51853604E-03
       1       0       5       1       3   859.88531      0.37274360E-03
       1       0       5       1       4   859.64410      0.28055096E-03
       1       0       5       1       5   859.45800      0.21651497E-03
       1       0       5       1       6   859.31239      0.16943067E-03
       1       0       5       1       7   859.19764      0.13354619E-03
       1       0       5       1       8   859.10686      0.10566077E-03
       1       0       5       1       9   859.03490      0.83760971E-04
       1       0       5       1      10   858.97786      0.66406103E-04
       1       0       5       1      11   858.93269      0.52590366E-04
       1       0       5       1      12   858.89696      0.41601748E-04
       1       0       5       1      13   858.86871      0.32886925E-04
       1       0       5       1      14   858.84639      0.25982015E-04
       1       0       5       1      15   858.82878      0.20507652E-04
       1       0       5       1      16   858.81489      0.16176858E-04
       1       0       5       1      17   858.80394      0.12749339E-04
       1       0       5       1      18   858.79532      0.10040324E-04
       1       0       5       1      19   858.78853      0.79002191E-05
       1       0       5       1      20   858.78320      0.62116601E-05
       1       0       5       1      21   858.77901      0.48808144E-05
       1       0       5       1      22   858.77571      0.38327619E-05
       1       0       5       1      23   858.77313      0.30086771E-05
       1       0       5       1      24   858.77110      0.23609236E-05
       1       0       5       1      25   858.76951      0.18519783E-05
       1       0       5       1      26   858.76827      0.14523946E-05
       1       0       5       1      27   858.76729      0.11386695E-05
       1       0       5       1      28   858.76652      0.89252881E-06
       1       0       6       1       2   858.40900      0.41640117E-03
       1       0       6       1       3   858.15283      0.29847272E-03
       1       0       6       1       4   857.96185      0.22257302E-03
       1       0       6       1       5   857.81589      0.17014000E-03
       1       0       6       1       6   857.70270      0.13196291E-03
       1       0       6       1       7   857.61427      0.10310355E-03
       1       0       6       1       8   857.54486      0.80940483E-04
       1       0       6       1       9   857.49022      0.63713758E-04
       1       0       6       1      10   857.44721      0.50163184E-04
       1       0       6       1      11   857.41336      0.39478034E-04
       1       0       6       1      12   857.38674      0.31049783E-04
       1       0       6       1      13   857.36581      0.24405030E-04
       1       0       6       1      14   857.34938      0.19164462E-04
       1       0       6       1      15   857.33649      0.15033878E-04
       1       0       6       1      16   857.32639      0.11784014E-04
       1       0       6       1      17   857.31848      0.92272828E-05
       1       0       6       1      18   857.31229      0.72183516E-05
       1       0       6       1      19   857.30745      0.56407240E-05
       1       0       6       1      20   857.30368      0.44047260E-05
       1       0       6       1      21   857.30073      0.34371625E-05
       1       0       6       1      22   857.29843      0.26802420E-05
       1       0       6       1      23   857.29664      0.20888128E-05
       1       0       6       1      24   857.29525      0.16266663E-05
       1       0       6       1      25   857.29416      0.12659659E-05
       1       0       6       1      26   857.29332      0.98475893E-06
       1       0       7       1       2   856.99839      0.34408512E-03
       1       0       7       1       3   856.78714      0.24652574E-03
       1       0       7       1       4   856.63031      0.18306332E-03
       1       0       7       1       5   856.51137      0.13885019E-03
       1       0       7       1       6   856.41984      0.10686859E-03
       1       0       7       1       7   856.34890      0.82840501E-04
       1       0       7       1       8   856.29368      0.64487041E-04
       1       0       7       1       9   856.25061      0.50298999E-04
       1       0       7       1      10   856.21700      0.39252412E-04
       1       0       7       1      11   856.19078      0.30629662E-04
       1       0       7       1      12   856.17034      0.23871552E-04
       1       0       7       1      13   856.15443      0.18583638E-04
       1       0       7       1      14   856.14206      0.14445048E-04
       1       0       7       1      15   856.13246      0.11208779E-04
       1       0       7       1      16   856.12502      0.86892872E-05
       1       0       7       1      17   856.11926      0.67300327E-05
       1       0       7       1      18   856.11480      0.52067442E-05
       1       0       7       1      19   856.11136      0.40234318E-05
       1       0       7       1      20   856.10870      0.31063490E-05
       1       0       7       1      21   856.10665      0.23964163E-05
       1       0       7       1      22   856.10507      0.18473939E-05
       1       0       7       1      23   856.10385      0.14232752E-05
       1       0       7       1      24   856.10291      0.10958630E-05
       1       0       7       1      25   856.10219      0.84322795E-06
       1       0       8       1       2   855.85567      0.28799236E-03
       1       0       8       1       3   855.67976      0.20556026E-03
       1       0       8       1       4   855.55007      0.15157217E-03
       1       0       8       1       5   855.45238      0.11419246E-03
       1       0       8       1       6   855.37777      0.87223454E-04
       1       0       8       1       7   855.32031      0.67173217E-04
       1       0       8       1       8   855.27586      0.51970382E-04
       1       0       8       1       9   855.24141      0.40287866E-04
       1       0       8       1      10   855.21468      0.31247525E-04
       1       0       8       1      11   855.19397      0.24224587E-04
       1       0       8       1      12   855.17791      0.18773598E-04
       1       0       8       1      13   855.16548      0.14539494E-04
       1       0       8       1      14   855.15586      0.11252339E-04
       1       0       8       1      15   855.14842      0.86995020E-05
