path,title,molar_mass,molar_volume,formation_gibbs,formation_enthalpy,reference_entropy,reference_spec_heat,coef_a,coef_b,coef_c,track
/species/c13a001sh,Ca2.6Al0.04Si2O7.4606H1.6012:2.1732H2O,321.583,135.032,-4217867.0,-4570562.0,340.757,340.83,340.84,0.0,0.0,"18roo/vie,Internal calculation"
/species/c13sh,Ca2.6Si2O7.3957H1.5914:2.1702H2O,319.401,132.265,-4184717.0,-4536006.0,336.341,333.01,333.01,0.0,0.0,"18roo/vie,Internal calculation"
/species/c14a001sh,Ca2.8Al0.04Si2O7.7502H1.7804:2.2294H2O,335.425,138.947,-4385330.0,-4753157.0,352.842,351.69,351.69,0.0,0.0,"18roo/vie,Internal calculation"
/species/c14sh,Ca2.8Si2O7.687H1.774:2.2274H2O,333.292,136.191,-4352457.0,-4719049.0,348.486,343.88,343.88,0.0,0.0,"18roo/vie,Internal calculation"
/species/c2ah8,Ca2Al2O5:8H2O,358.238,210.73,-4822889.0,-5442460.0,440.657,nan,nan,nan,nan,"92wol,06bla/las,Internal calculation"
/species/prehnite,Ca2Al2Si3O10(OH)2,412.384,141.1,-5822606.0,-6199766.0,292.8,330.57,378.71,164.58,-86.41,"95rob/hem,Internal calculation,98cha/kru"
/species/straetlingite,Ca2Al2SiO2(OH)10:2.5H2O,409.315,215.63,-5596661.0,-6216862.0,545.88,521.48,521.48,0.0,0.0,"90rin/sac,10bbla/bou,Internal calculation"
/species/clinozoisite,Ca2Al3Si3O12(OH),454.357,136.4,-6494260.0,-6890340.0,294.88,350.9,372.04,213.3,-75.32,"04got,Internal calculation"
/species/zoisite,Ca2Al3Si3O12(OH),454.357,135.72,-6483166.0,-6878500.0,297.38,350.9,372.04,213.3,-75.32,"04got,Internal calculation,01sme/fra"
/species/stellerite,Ca2Al4Si14O36:14H2O,1409.47,666.5,-19923000.0,-21656238.0,1604.73,1573.96,1787.49,632.96,-357.57,"01fri/neu,Internal calculation"
/species/zeolitepca,Ca2Al4Si4O16:9H2O,718.552,305.7,-10169745.0,-11119774.0,825.728,918.69,918.69,0.0,0.0,"97coo/alb,08bla,10bbla/bou,Internal calculation,10vie"
/species/gismondine,Ca2Al4Si4O16:9H2O,718.552,315.07,-10204879.0,-11179800.0,742.24,869.34,745.48,569.0,-40.7,"97coo/alb,Internal calculation,08bla,10vie"
/species/epidote,Ca2FeAl2Si3O12(OH),483.223,139.01,-6078118.0,-6462600.0,332.8,362.89,513.3,-3.47,-132.78,"04got,Internal calculation"
/species/akermanite,Ca2MgSi2O7,272.628,92.81,-3679251.0,-3876679.0,209.326,211.98,251.42,47.7,-47.7,"78hel/del|92ajoh,Internal calculation"
/species/c1sh,Ca2Si2O6.6436H1.2872:1.7542H2O,275.52,116.839,-3650225.0,-3950317.0,289.046,288.12,288.12,0.0,0.0,"18roo/vie,Internal calculation"
/species/gyrolite,Ca2Si3O7.5(OH):2H2O,337.446,137.34,-4550155.0,-4917990.0,309.634,325.94,325.94,0.0,0.0,"10abla/bou,Internal calculation"
/species/hillebrandite,Ca2SiO3(OH)2:0.17H2O,193.317,72.58,-2481411.0,-2662480.0,177.896,177.46,177.46,0.0,0.0,"95dai/pos,10abla/bou,56new,Internal calculation"
/species/larnitealpha,Ca2SiO4,172.239,51.6,-2192007.0,-2306700.0,127.612,128.58,145.9,40.75,-26.19,"78hel/del|60kel,Internal calculation,95rob/hem"
/species/larnitebeta,Ca2SiO4,172.239,nan,-2190418.0,nan,nan,nan,nan,nan,nan,Internal calculation
/species/larnitegamma,Ca2SiO4,172.239,nan,-2178303.0,nan,nan,nan,nan,nan,nan,Internal calculation
/species/ca3aso42366h2o,Ca3(AsO4)2:3.66H2O,464.008,nan,-3936952.0,nan,nan,nan,nan,nan,nan,99bot/bro
/species/whitlockitelow,Ca3(PO4)2,310.177,97.62,-3884817.0,-4120820.0,236.0,227.82,227.82,0.0,0.0,"95rob/hem,Internal calculation,71par/wag,60kel"
/species/whitlockitehigh,Ca3(PO4)2,310.177,97.62,-3874958.0,-4109470.0,241.0,227.17,201.84,164.18,-21.0,"95rob/hem,84nan,Internal calculation,60kel"
/species/c16a001sh,Ca3.2Al0.04Si2O8.3296H2.1392:2.3446H2O,363.163,146.817,-4720269.0,-5118530.0,377.148,373.51,373.51,0.0,0.0,"18roo/vie,Internal calculation"
/species/c16sh,Ca3.2Si2O8.2682H2.1364:2.3446H2O,361.099,144.085,-4687522.0,-5084781.0,372.901,365.77,365.77,0.0,0.0,"18roo/vie,Internal calculation"
/species/c15a001sh,Ca3Al0.04Si2O8.0399H1.9598:2.2858H2O,349.273,142.866,-4552724.0,-4935702.0,364.937,362.55,362.55,0.0,0.0,"18roo/vie,Internal calculation"
/species/c3ah6,Ca3Al2(OH)12,378.285,149.52,-5020912.0,-5551500.0,416.762,459.35,292.09,561.0,0.0,"92wol,10bbla/bou,99sch/nav,Internal calculation,79ede/sat"
/species/katoitesi1,Ca3Al2(SiO4)1(OH)8,402.339,141.51,-5433894.0,-5907896.0,364.0,415.07,415.07,0.0,0.0,"10bbla/bou,Internal calculation"
/species/grossular,Ca3Al2Si3O12,450.446,125.3,-6279652.0,-6640000.0,260.1,327.85,435.21,71.18,-114.3,"78hel/del|92ajoh,Internal calculation,95rob/hem"
/species/c3fh6,Ca3Fe2(OH)12,436.016,154.5,-4123573.0,-4647590.0,436.84,484.15,330.5,515.35,0.0,"97tay,Internal calculation,85bab/mat,10bbla/bou"
/species/andradite,Ca3Fe2Si3O12,508.177,131.85,-5425891.0,-5775718.0,293.424,349.14,475.02,65.42,-129.24,"78hel/del|92ajoh,Internal calculation"
/species/merwinite,Ca3Mg(SiO4)2,328.705,104.4,-4336825.0,-4564175.0,253.132,252.26,305.31,50.04,-60.42,"78hel/del|92ajoh,Internal calculation"
/species/afwillite,Ca3Si2O4(OH)6,342.447,129.53,-4469122.0,-4853820.0,289.905,303.55,303.55,0.0,0.0,"52meg,10abla/bou,Internal calculation"
/species/c15sh,Ca3Si2O7.9783H1.9566:2.2848H2O,347.186,140.12,-4519987.0,-4901893.0,360.641,354.77,354.77,0.0,0.0,"18roo/vie,Internal calculation"
/species/ca4oh2aso424h2o,Ca4(OH)2(AsO4)2:4H2O,544.226,nan,-4928679.0,nan,nan,nan,nan,nan,nan,99bot/bro
/species/monocarboaluminate,Ca4Al2CO9:10.68H2O,562.684,261.96,-7269068.0,-8175746.0,602.044,730.82,730.82,0.0,0.0,"97tay,10bbla/bou,61ber/new,Internal calculation"
