Al,Mg,Si,Zn,liquidus,eq_liquidus
0.26,0.01,0.05,,921.7143317353047,"{'DIAMOND_A4#1': 8.261722118068936e-18, 'LIQUID#1': 1.0}"
0.26,0.01,0.06,,949.0511405680933,"{'DIAMOND_A4#1': 7.425601995727552e-16, 'LIQUID#1': 1.0}"
0.26,0.01,0.07,,973.323388080113,"{'DIAMOND_A4#1': 3.5043680592693465e-16, 'LIQUID#1': 1.0}"
0.26,0.01,0.08,,995.2646327771738,{'LIQUID#1': 1.0}
0.26,0.01,0.09,,1015.3658834114896,{'LIQUID#1': 1.0}
0.26,0.02,0.01,,762.1836822490333,{'LIQUID#1': 0.9999999999999999}
0.26,0.02,0.02,,788.0466120843482,"{'DIAMOND_A4#1': 1.277405033678096e-15, 'LIQUID#1': 1.0}"
0.26,0.02,0.03,,836.4108657057238,{'LIQUID#1': 1.0}
0.26,0.02,0.04,,874.2812431750272,"{'DIAMOND_A4#1': 4.866337000945886e-17, 'LIQUID#1': 1.0}"
0.26,0.02,0.05,,905.9445678791404,{'LIQUID#1': 1.0}
0.26,0.02,0.06,,933.4442273165499,"{'DIAMOND_A4#1': 2.3366303166922936e-16, 'LIQUID#1': 1.0}"
0.26,0.02,0.07,,957.9293763156898,"{'DIAMOND_A4#1': 1.134230039076376e-15, 'LIQUID#1': 1.0}"
0.26,0.02,0.08,,980.1164307331425,{'LIQUID#1': 1.0}
0.26,0.02,0.09,,1000.4848274118931,"{'DIAMOND_A4#1': 1.2973059738409943e-17, 'LIQUID#1': 1.0}"
0.26,0.03,0.01,,760.9896479112175,"{'FCC_A1#1': 1.0093658989206707e-15, 'LIQUID#1': 1.0}"
0.26,0.03,0.02,,772.2570290049352,{'LIQUID#1': 1.0}
0.26,0.03,0.03,,820.3257879931069,{'LIQUID#1': 1.0}
0.26,0.03,0.04,,858.1311714119666,{'LIQUID#1': 1.0}
0.26,0.03,0.05,,889.8606350604502,"{'DIAMOND_A4#1': 2.989395667549667e-16, 'LIQUID#1': 1.0000000000000002}"
0.26,0.03,0.06,,917.5089934686697,"{'DIAMOND_A4#1': 6.3035625718855765e-16, 'LIQUID#1': 1.0}"
0.26,0.03,0.07,,942.1974373880979,"{'DIAMOND_A4#1': 1.022490524052351e-15, 'LIQUID#1': 1.0}"
0.26,0.03,0.08,,964.6245994600029,"{'DIAMOND_A4#1': 5.97532231487842e-16, 'LIQUID#1': 1.0}"
0.26,0.03,0.09,,985.257838236368,"{'DIAMOND_A4#1': 1.1848429669722287e-16, 'LIQUID#1': 1.0}"
0.26,0.04,0.01,,759.0328686547128,{'LIQUID#1': 1.0}
0.26,0.04,0.02,,761.6241848282361,"{'LIQUID#1': 1.0, 'MG2SI#1': 1.7924519378703527e-15}"
0.26,0.04,0.03,,804.0162546597628,{'LIQUID#1': 1.0000000000000002}
0.26,0.04,0.04,,841.7285967716666,{'LIQUID#1': 0.9999999999999999}
0.26,0.04,0.05,,873.5022513832503,{'LIQUID#1': 1.0}
0.26,0.04,0.06,,901.282386418376,"{'DIAMOND_A4#1': 1.1053788573638545e-16, 'LIQUID#1': 1.0}"
0.26,0.04,0.07,,926.1615059143827,"{'DIAMOND_A4#1': 2.0278426857194205e-16, 'LIQUID#1': 1.0}"
0.26,0.04,0.08,,948.8199170277693,"{'DIAMOND_A4#1': 5.302857390375699e-16, 'LIQUID#1': 0.9999999999999998}"
0.26,0.04,0.09,,969.7124632918225,"{'DIAMOND_A4#1': 1.3654197847347351e-15, 'LIQUID#1': 1.0}"
0.26,0.05,0.01,,760.8754344181117,"{'LIQUID#1': 1.0, 'MG2SI#1': 3.16558169152924e-16}"
0.26,0.05,0.02,,791.1837783438201,"{'LIQUID#1': 1.0, 'MG2SI#1': 7.161302962645837e-16}"
0.26,0.05,0.03,,805.5527617023566,{'LIQUID#1': 1.0}
0.26,0.05,0.04,,825.1133506359374,{'LIQUID#1': 1.0}
0.26,0.05,0.05,,856.9072892900987,"{'DIAMOND_A4#1': 5.022304272802372e-16, 'LIQUID#1': 0.9999999999999999}"
0.26,0.05,0.06,,884.7999130854818,"{'DIAMOND_A4#1': 1.1211249104230551e-15, 'LIQUID#1': 0.9999999999999999}"
0.26,0.05,0.07,,909.8544580549914,{'LIQUID#1': 1.0}
0.26,0.05,0.08,,932.7324596006833,{'LIQUID#1': 1.0}
0.26,0.05,0.09,,953.8758782304631,"{'DIAMOND_A4#1': 3.126116686421758e-16, 'LIQUID#1': 1.0}"
0.26,0.06,0.01,,783.5790926570385,"{'LIQUID#1': 1.0, 'MG2SI#1': 2.7523965391601713e-16}"
0.26,0.06,0.02,,815.8435677766511,{'LIQUID#1': 1.0}
0.26,0.06,0.03,,831.5708587754015,"{'LIQUID#1': 1.0, 'MG2SI#1': 8.864883547275696e-16}"
0.26,0.06,0.04,,840.1647486941903,"{'LIQUID#1': 1.0, 'MG2SI#1': 2.8736071762253107e-16}"
0.26,0.06,0.05,,844.7420527114468,"{'LIQUID#1': 1.0, 'MG2SI#1': 1.3355091595577583e-15}"
0.26,0.06,0.06,,868.0956122892621,{'LIQUID#1': 1.0}
0.26,0.06,0.07,,893.3080600341876,"{'DIAMOND_A4#1': 1.3139463331620336e-15, 'LIQUID#1': 1.0}"
0.26,0.06,0.08,,916.3915298291606,"{'DIAMOND_A4#1': 1.0306673879435687e-16, 'LIQUID#1': 0.9999999999999998}"
0.26,0.06,0.09,,937.7747986803455,{'LIQUID#1': 0.9999999999999999}
0.26,0.07,0.01,,802.8080403485992,{'LIQUID#1': 1.0}
0.26,0.07,0.02,,836.8248343843776,{'LIQUID#1': 1.0}
0.26,0.07,0.03,,853.7920974737084,{'LIQUID#1': 1.0}
0.26,0.07,0.04,,863.3906328459526,"{'LIQUID#1': 1.0, 'MG2SI#1': 3.0049101607611686e-16}"
0.26,0.07,0.05,,868.8321393783142,{'LIQUID#1': 1.0}
0.26,0.07,0.06,,871.6015574358219,{'LIQUID#1': 1.0}
0.26,0.07,0.07,,876.5529232543249,"{'DIAMOND_A4#1': 9.287334828801053e-14, 'LIQUID#1': 1.0}"
0.26,0.07,0.08,,899.8255939762786,{'LIQUID#1': 1.0}
0.26,0.07,0.09,,921.4354011032759,{'LIQUID#1': 1.0}
0.26,0.08,0.01,,819.3009430056111,{'LIQUID#1': 0.9999999999999999}
0.26,0.08,0.02,,854.9085689810053,{'LIQUID#1': 1.0}
0.26,0.08,0.03,,873.0213901140204,"{'LIQUID#1': 1.0, 'MG2SI#1': 7.555322966612348e-16}"
0.26,0.08,0.04,,883.559298693183,"{'LIQUID#1': 1.0, 'MG2SI#1': 2.438711855782798e-16}"
0.26,0.08,0.05,,889.8160194043813,{'LIQUID#1': 0.9999999999999999}
0.26,0.08,0.06,,893.3156312968835,"{'LIQUID#1': 1.0, 'MG2SI#1': 3.119500329961853e-16}"
0.26,0.08,0.07,,894.8940274259212,{'LIQUID#1': 1.0}
0.26,0.08,0.08,,895.0605594920015,{'LIQUID#1': 0.9999999999999999}
0.26,0.08,0.09,,904.8832518358901,"{'DIAMOND_A4#1': 3.7257902469935427e-16, 'LIQUID#1': 0.9999999999999999}"
0.26,0.09,0.01,,833.5669565361427,"{'LIQUID#1': 0.9999999999999999, 'MG2SI#1': 6.603906064510096e-17}"
0.26,0.09,0.02,,870.6327027817956,{'LIQUID#1': 1.0}
0.26,0.09,0.03,,889.8129248204278,{'LIQUID#1': 1.0}
