AT,C,Mn,Cu,Si,Ni,Cr,Mo,V,Al,W,N,Co,t,T
982,0.09,0.44,0.0,0.29,0.0,12.66,0.0,0.0,0.0,0.0,0.0,0.0,19908.07604,770.47058
982,0.09,0.44,0.0,0.29,0.0,12.66,0.0,0.0,0.0,0.0,0.0,0.0,22398.49008,772.99208
982,0.09,0.44,0.0,0.29,0.0,12.66,0.0,0.0,0.0,0.0,0.0,0.0,25700.39333,774.79315
982,0.09,0.44,0.0,0.29,0.0,12.66,0.0,0.0,0.0,0.0,0.0,0.0,29392.65844,776.95443
982,0.09,0.44,0.0,0.29,0.0,12.66,0.0,0.0,0.0,0.0,0.0,0.0,33836.21878,779.11572
982,0.09,0.44,0.0,0.29,0.0,12.66,0.0,0.0,0.0,0.0,0.0,0.0,38068.98311,780.55657
982,0.09,0.44,0.0,0.29,0.0,12.66,0.0,0.0,0.0,0.0,0.0,0.0,43395.87454,781.99743
982,0.09,0.44,0.0,0.29,0.0,12.66,0.0,0.0,0.0,0.0,0.0,0.0,48189.25142,782.71785
1095,0.09,0.4,0.0,0.33,0.34,17.2,0.06,0.0,0.01,0.0,0.03,0.0,7200.0,730.7864777777777
1095,0.09,0.4,0.0,0.33,0.34,17.2,0.06,0.0,0.01,0.0,0.03,0.0,14400.0,774.2871555555555
1095,0.09,0.4,0.0,0.33,0.34,17.2,0.06,0.0,0.01,0.0,0.03,0.0,28800.0,807.9013166666666
1095,0.09,0.4,0.0,0.33,0.34,17.2,0.06,0.0,0.01,0.0,0.03,0.0,54000.0,829.3221055555556
1090,0.09,0.4,0.0,0.33,0.34,17.2,0.0,0.0,0.0,0.0,0.03,0.0,5322.9666,411.85622
1090,0.09,0.4,0.0,0.33,0.34,17.2,0.0,0.0,0.0,0.0,0.03,0.0,5520.73343,417.72109
1090,0.09,0.4,0.0,0.33,0.34,17.2,0.0,0.0,0.0,0.0,0.03,0.0,5669.16355,423.40267
1090,0.09,0.4,0.0,0.33,0.34,17.2,0.0,0.0,0.0,0.0,0.03,0.0,5978.10313,428.71771
1090,0.09,0.4,0.0,0.33,0.34,17.2,0.0,0.0,0.0,0.0,0.03,0.0,6388.05907,433.66619
1090,0.09,0.4,0.0,0.33,0.34,17.2,0.0,0.0,0.0,0.0,0.03,0.0,6940.26134,438.24811
1090,0.09,0.4,0.0,0.33,0.34,17.2,0.0,0.0,0.0,0.0,0.03,0.0,7540.19758,442.83004
1090,0.09,0.4,0.0,0.33,0.34,17.2,0.0,0.0,0.0,0.0,0.03,0.0,8030.59956,447.22869
1090,0.09,0.4,0.0,0.33,0.34,17.2,0.0,0.0,0.0,0.0,0.03,0.0,8724.78778,451.62733
1090,0.09,0.4,0.0,0.33,0.34,17.2,0.0,0.0,0.0,0.0,0.03,0.0,9354.07115,454.92632
1090,0.09,0.4,0.0,0.33,0.34,17.2,0.0,0.0,0.0,0.0,0.03,0.0,9995.53835,457.30892
1090,0.09,0.4,0.0,0.33,0.34,17.2,0.0,0.0,0.0,0.0,0.03,0.0,10298.37434,460.60791
1090,0.09,0.4,0.0,0.33,0.34,17.2,0.0,0.0,0.0,0.0,0.03,0.0,11225.76254,464.82328
1090,0.09,0.4,0.0,0.33,0.34,17.2,0.0,0.0,0.0,0.0,0.03,0.0,13032.5162,472.52091
1090,0.09,0.4,0.0,0.33,0.34,17.2,0.0,0.0,0.0,0.0,0.03,0.0,14395.82488,475.63662
1090,0.09,0.4,0.0,0.33,0.34,17.2,0.0,0.0,0.0,0.0,0.03,0.0,15901.74688,479.66872
1090,0.09,0.4,0.0,0.33,0.34,17.2,0.0,0.0,0.0,0.0,0.03,0.0,17333.72944,483.33426
1090,0.09,0.4,0.0,0.33,0.34,17.2,0.0,0.0,0.0,0.0,0.03,0.0,18583.94068,487.54963
1090,0.09,0.4,0.0,0.33,0.34,17.2,0.0,0.0,0.0,0.0,0.03,0.0,20460.00878,490.84861
1090,0.09,0.4,0.0,0.33,0.34,17.2,0.0,0.0,0.0,0.0,0.03,0.0,22450.88913,494.1476
1090,0.09,0.4,0.0,0.33,0.34,17.2,0.0,0.0,0.0,0.0,0.03,0.0,24553.92915,497.44659
1090,0.09,0.4,0.0,0.33,0.34,17.2,0.0,0.0,0.0,0.0,0.03,0.0,26765.05718,500.19574
