X,Y,Z,phase_id,diameter,density,U,V,W
0.0713306,-0.83374,-0.20099,1,0.010771,2500,0,0,0
0.0750664,-0.827071,-0.207456,1,0.00927045,2500,0,0,0
0.093,-0.819864,-0.206611,1,0.00847213,2500,0,0,0
-0.0904852,-0.819963,-0.183016,1,0.0105436,2500,0,0,0
-0.0878173,-0.833048,-0.195965,1,0.00936183,2500,0,0,0
-0.0736144,-0.822611,-0.192138,1,0.0112439,2500,0,0,0
-0.0717367,-0.833565,-0.19303,1,0.0110676,2500,0,0,0
-0.0515447,-0.838933,-0.201897,1,0.00946536,2500,0,0,0
-0.0651333,-0.837763,-0.200048,1,0.00885757,2500,0,0,0
-0.0515922,-0.836609,-0.186536,1,0.0112617,2500,0,0,0
-0.0393416,-0.83726,-0.205425,1,0.0110389,2500,0,0,0
-0.0389974,-0.845145,-0.191189,1,0.0107495,2500,0,0,0
-0.0345458,-0.845376,-0.200622,1,0.0101211,2500,0,0,0
-0.0241764,-0.851628,-0.187975,1,0.0112114,2500,0,0,0
-0.00776091,-0.857265,-0.182824,1,0.0108309,2500,0,0,0
-0.00467803,-0.866365,-0.187181,1,0.0103036,2500,0,0,0
0.00305109,-0.860287,-0.191232,1,0.0109751,2500,0,0,0
0.0255503,-0.861985,-0.19138,1,0.00877955,2500,0,0,0
0.0206884,-0.857486,-0.184608,1,0.0102139,2500,0,0,0
0.032037,-0.855746,-0.193707,1,0.00990214,2500,0,0,0
0.0237699,-0.848404,-0.187761,1,0.00978099,2500,0,0,0
0.0501167,-0.848389,-0.193929,1,0.0110673,2500,0,0,0
0.0557764,-0.85526,-0.188816,1,0.00883568,2500,0,0,0
0.0602972,-0.848178,-0.192491,1,0.00953042,2500,0,0,0
0.064377,-0.840578,-0.177019,1,0.0110343,2500,0,0,0
0.0762064,-0.840297,-0.193798,1,0.0109997,2500,0,0,0
0.0776099,-0.829585,-0.187147,1,0.0108405,2500,0,0,0
0.0900449,-0.828505,-0.198819,1,0.00984597,2500,0,0,0
0.102797,-0.832995,-0.187847,1,0.0102998,2500,0,0,0
-0.112835,-0.833557,-0.183364,1,0.00884896,2500,0,0,0
-0.0957305,-0.834012,-0.191317,1,0.00910596,2500,0,0,0
-0.0790483,-0.833413,-0.181474,1,0.0102248,2500,0,0,0
-0.0677253,-0.843994,-0.19291,1,0.0108259,2500,0,0,0
-0.070965,-0.84601,-0.18317,1,0.0101125,2500,0,0,0
-0.065904,-0.852575,-0.188077,1,0.00922386,2500,0,0,0
-0.0510603,-0.847664,-0.196288,1,0.00778563,2500,0,0,0
-0.0491129,-0.859043,-0.186805,1,0.0102871,2500,0,0,0
-0.0443487,-0.853574,-0.192979,1,0.00873393,2500,0,0,0
-0.0340296,-0.853932,-0.19426,1,0.010371,2500,0,0,0
-0.0305011,-0.861998,-0.189924,1,0.00927139,2500,0,0,0
-0.0199883,-0.862305,-0.189181,1,0.0118781,2500,0,0,0
-0.0136722,-0.869812,-0.185229,1,0.00938634,2500,0,0,0
0.00108505,-0.86369,-0.178347,1,0.0115013,2500,0,0,0
0.0156743,-0.861207,-0.191841,1,0.00893316,2500,0,0,0
0.0125531,-0.863575,-0.175312,1,0.0123147,2500,0,0,0
0.0200032,-0.867443,-0.186194,1,0.00999945,2500,0,0,0
0.0305994,-0.854633,-0.183658,1,0.010522,2500,0,0,0
0.0407511,-0.858267,-0.190554,1,0.00850145,2500,0,0,0
0.0408141,-0.849413,-0.18544,1,0.010803,2500,0,0,0
0.0526636,-0.852296,-0.17565,1,0.0106968,2500,0,0,0
0.0584152,-0.859911,-0.180878,1,0.00974076,2500,0,0,0
